"FECHA";"CANAL";"SKU";"PRODUCTO";"UNIDADES";"PORCENTAJE DESCUENTO";"MONTO APLICADO";"BOLETA";"LOCAL";"CODIGO CLIENTE"
"2026-05-08T00:02:53";"APP";"1095";"EUCERIN SERUM DERMOP.40ML";"1";"0.0000";"25194";"1658525559";"1999";"4cb2b1b2-b7ed-309d-a4b2-a542dfe7d181"
"2026-05-08T00:02:53";"WEB";"1011";"SEBIUM H2O MICELAR 250ML";"1";"0.0000";"10393";"1658525557";"1999";"a6466244-8c40-3c4a-8fae-16eae03c1272"
"2026-05-08T00:02:54";"WEB";"941";"EUCER.PH5 LOC.LIG.P/SE400";"1";"0.0000";"15954";"1658525563";"1999";"b0b77a99-bbf5-3878-9822-53ee87657d64"
"2026-05-08T00:02:54";"WEB";"1223";"EUCERIN AQUAPHOR POM220ML";"1";"0.0000";"16794";"1658525563";"1999";"b0b77a99-bbf5-3878-9822-53ee87657d64"
"2026-05-08T00:02:58";"APP";"1087";"HYAL-F.3X EFE.CR.P/SE.50M";"1";"0.0000";"21594";"1658525575";"1999";"d485c73c-d726-351b-9dad-bfbfd620c7a7"
"2026-05-08T00:02:58";"APP";"1089";"EUCERIN BABY BANO&SH.400M";"2";"0.0000";"26988";"1658525575";"1999";"d485c73c-d726-351b-9dad-bfbfd620c7a7"
"2026-05-08T00:02:58";"WEB";"542";"ILTUX HCT COM.20/12;5MG28";"1";"0.5000";"11220";"1658525582";"1999";"6a56d872-b782-31d0-8688-d36fea9ece64"
"2026-05-08T00:02:58";"WEB";"1252";"SENSIBIO H2O MICELA 500ML";"1";"0.0000";"16794";"1658525579";"1999";"04967e20-3d57-3553-9148-70e670448aa5"
"2026-05-08T00:02:59";"WEB";"986";"EUCERI.SUN FL.PROT.F50.50";"1";"0.0000";"14994";"1658525584";"1999";"8c4d9d7c-9ce2-315f-8246-9837b69ac6a6"
"2026-05-08T00:02:59";"WEB";"1120";"EUCERIN OIL CON.F50+ 200M";"1";"0.0000";"13794";"1658525584";"1999";"8c4d9d7c-9ce2-315f-8246-9837b69ac6a6"
"2026-05-08T00:03:01";"WEB";"902";"EUCERIN A.PIG.CR.NOC.50ML";"1";"0.0000";"25614";"1658525590";"1999";"635ea20f-ccec-336f-814c-837f1778c432"
"2026-05-08T00:03:01";"WEB";"903";"EUCERIN D.CLEA.GEL FA.200";"1";"0.0000";"11814";"1658525590";"1999";"635ea20f-ccec-336f-814c-837f1778c432"
"2026-05-08T00:03:01";"WEB";"1234";"EUCE.CR.CONT.OJO.ANTI.15M";"1";"0.0000";"22494";"1658525590";"1999";"635ea20f-ccec-336f-814c-837f1778c432"
"2026-05-08T00:03:07";"WEB";"1157";"EUCERIN PROT.UL100.80ML";"1";"0.0000";"33990";"1658525603";"1999";"3832d8f1-8956-3ea6-a391-a6b8f59c1697"
"2026-05-08T00:03:07";"WEB";"1223";"EUCERIN AQUAPHOR POM220ML";"1";"0.0000";"16794";"1658525603";"1999";"3832d8f1-8956-3ea6-a391-a6b8f59c1697"
"2026-05-08T00:03:13";"WEB";"91";"ROSINA CD BE COM.REC.28";"1";"0.5000";"9445";"1658525614";"1999";"7e892f1a-03db-3d3d-8766-8b6ab86ed439"
"2026-05-08T00:03:15";"WEB";"1095";"EUCERIN SERUM DERMOP.40ML";"1";"0.4000";"15194";"1658525619";"1999";"63b0d77d-097a-3e61-9c9a-f413eeab17c3"
"2026-05-08T00:05:08";"WEB";"908";"EUCERIN UREA 10%CR.PIE100";"2";"0.0000";"23628";"1658525625";"1999";"b92dc9ac-8290-3acc-9790-87ca470a823a"
"2026-05-08T00:05:08";"WEB";"923";"EUCERIN DER.GEL LIM.FA200";"1";"0.0000";"10794";"1658525625";"1999";"b92dc9ac-8290-3acc-9790-87ca470a823a"
"2026-05-08T00:05:08";"WEB";"986";"EUCERI.SUN FL.PROT.F50.50";"2";"0.0000";"29988";"1658525625";"1999";"b92dc9ac-8290-3acc-9790-87ca470a823a"
"2026-05-08T00:05:09";"APP";"1172";"EUCERIN ATOP.HID.LOC.400M";"1";"0.0000";"21294";"1658525632";"1999";"79275002-4417-34d5-9904-577af3812801"
"2026-05-08T00:06:54";"WEB";"1088";"EUCERIN CUID.INT.P/SE.250";"1";"0.0000";"12294";"1658525645";"1999";"4819d87c-d2cf-3182-aa6d-b33377c5f3d9"
"2026-05-08T00:06:54";"WEB";"1179";"SENSIBIO H2O MICELA 250ML";"1";"0.0000";"9594";"1658525641";"1999";"416c2ab9-dac9-3cbf-8110-034f2dd1ee8e"
"2026-05-08T00:06:54";"WEB";"1244";"EUCERIN PH5 LOC.P/S 400ML";"1";"0.0000";"15354";"1658525641";"1999";"416c2ab9-dac9-3cbf-8110-034f2dd1ee8e"
"2026-05-08T00:08:42";"POS";"168";"AMLIPROS COMREC.5/40MG.30";"1";"0.3500";"8677";"1623028617";"490";"ff17dcba-846e-30d8-8bc9-59fb35053ef0"
"2026-05-08T00:09:56";"POS";"780";"AARTFENACIN COMRE180MG.30";"1";"0.3500";"9272";"1638825439";"413";"5ccf66b2-1ba8-3211-9876-e4bcf2a54ebd"
"2026-05-08T00:10:01";"POS";"149";"EUTIROX COM.100MCG.100";"1";"0.5000";"11070";"1632214765";"718";"93930b13-3707-36a0-97b4-7dd20025eb7c"
"2026-05-08T00:10:08";"WEB";"1148";"EUCERIN DERMOP.GEL.400ML";"1";"0.0000";"14394";"1658525662";"1999";"1b33d9e7-d767-3ec6-b79c-4d9c7938ea2a"
"2026-05-08T00:10:09";"APP";"986";"EUCERI.SUN FL.PROT.F50.50";"1";"0.0000";"14994";"1658525664";"1999";"e9da0046-4016-31fb-a473-f1208126e9e6"
"2026-05-08T00:10:09";"WEB";"896";"EUCERIN OIL C.TIN.F50+50M";"1";"0.0000";"14394";"1658525666";"1999";"8e9685dd-9170-3501-af1d-42529a836d9c"
"2026-05-08T00:10:09";"WEB";"1097";"EUCERIN BABY CR.CORP.400M";"1";"0.0000";"14754";"1658525669";"1999";"3870b171-ce76-30d9-854b-b6ed2a7c2121"
"2026-05-08T00:10:10";"APP";"856";"EUCERIN ELASTICI.CR.DI.50";"1";"0.0000";"28194";"1658525681";"1999";"190658ce-da4e-3286-bffa-19ffe011a6b9"
